text,original_label,sentiment
"Preproste, lepe, navdušujoče, korektne, viteške besede Italijana na čelu odbojkarske reprezentance Slovenije.
Bravo naveza Slovenci - Italijan!",1,positive
"Če se bo trend tako nadaljeval, v kar ne dvomim, da se ne bo. Bo na zavodu končalo še kakih  10%, potem še vzemimo šolarje, dijake, študente in upokojence,... ja kdo bo še sploh imel zaposlitev. Samo še trgovci, kupne moči pa ni in je ne bo.",-1,negative
"Ne morem verjeti! 

BRAVO NAŠI! BRAVO SELEKTOR!",1,positive
"Na zalost kapitalizem drugače ne more funkcionirat, kot z prekomernim proizvajanjem. Nekje se zgodba vseeno mora končati.

V Sloveniji je 70. 000 stanovanjskih enot praznih??!!!

Enormna gradnja novih stanovanj, z nenormalnimi cenami. LEPO VAS PROSM",-1,negative
"Glede smučarske zveze,Tine Maze in Andree Massia bo na kratko rekel takole, ˝vsi so vedeli da je problem nerešljiv,potem je pa prišel eden ki tega ni vedel in rešil problem˝.",1,positive
KAJ IMAJO HRVATI SPET ZA BREGOM ????? ŽE SPET SMO PRIJATELJI PO PAHORJEVO ????? PO KAKŠEN PODPIS JE PRIŠLA KOLINDA ????,-1,negative
"Kje pa se je naredilo še kaj za reveže, dolg gobec kot njihov puf!!!!",-1,negative
Še ena potuha več gradbincem !!  Na tak način se pri nas ne bo zmanšala cena m2 kot na že Brusel opozarja !!,-1,negative
"Ja Mađari so se pravilno odzvali na te migrante, tako bi morala narediti tudi Slovenija, ne pa da so govorili, da zmoremo in ne potrebujemo pomoč.
BEDAKI VSI NA VLADI, SEDAJ PA NAREDITE RED, ČE STE SPOSOBNI ??",-1,negative
"Danes tankal v Avstriji DIESEL 1,20€.
Torej od jutri bom prišparal samo še 14 centov namesto 16 :)",1,positive
"Najrajš bi vidu BiH in Slovenijo skupi na EP, ampak mam nek filing, da se bosta srečali v playoffu...",0,neutral
"K_ris

kot vem so bila lani javna dela oziroma celoten sistem subvencij v padcu, zato so podatki neprimerljivi.
lani večine namreč nismo počrpali, ker smo šele v koncu leta dobili požegnan program za novo finančno strategijo.
tako so mnogi ti programi obviseli v zraku ali pa so bili zelo reducirani.

na tem mestu raje ne bom o izgubi denarja in o vzrokih za zavračanje operativnih programov, ker sta dve ""kokoši"" na MG želel dati v program centre odličnosti (lasten interes) in so samo iz tega razloga večkrat zavrnili operativni program (izhodišča so jasno pisala, da ti niso med prioritetami).

ampak, da bi novinarji kdaj kakšno takšno temo, ki je lani povzročila izgubo cca. 800 mio EUR iz EU, obdelali, je najbrž znanstvena fantastika.
da o multiplikatorju za tistih 15- 25% udeležbe s strani države ne govorimo.",-1,negative
"Kako je naše razpoloženje odvisno od medalj Tine. Vsi pričakujemo stopničke. Res nas je razvadila v vseh teh letih, letvico je postavila zelo zelo visoko.

Vso spoštovanje Tina",1,positive
"Pa kaj se vedno pederišu s primerjavo s sosedi !
Saj tudi manj zaslužimo, cenovno pa plačujemo kot sosedje ! Pa šta
se uvijek pederišu. . . ;-)
Naj primerjao sosedovo povprečno plačo-z našo..",-1,negative
"Kaksen ömv bi se moral pritozit zaradi drzavnega monopola,saj morajo imet vse firme iste cene kot rece drzava oz.Petrol,zakaj pa so v Avstriji cene goriva razlicne,to ne razumem,to je isto,da drzava idza zakon,da morajo bit cene iste ppri Mercatorje in Hoferju iste",-1,negative
"Pa poglej hrvata -genocidnega prevaranta .Če nadškof konference poziva ,da bi se v hrvaški vojski uvedel .staški pozdrav ( za dom spremni ) je potrebno temeljitega razmisleka o hrvatu prevarantu .Ne imeti opravka z hrvati je najbolje!",-1,negative
"Slovenski alpski smučarji so letos osvojili 108 točk – 700 manj od Tine Maze. In 25 manj od Ilke Štuhec, ki se je januarja poškodovala.
-----------
Od teh 108 točk jih je 54 osvojil smučar, ki se je upokojil.
Ostali turisti so jih osvojili skupaj 54. Ena sama žalost so ti alpski smučarji. Kje so časi, ko smo imeli v Kranjski gori prvega in drugega (180 točk na eni tekmi - po današnjem sistemu).",-1,negative
še en turist...,-1,negative
"če bi bil Janša na  vladi, bi bil sedajle pogrom nad njim tule, Jutrišnja naslovnica Dela bi ibla pa tudi znana.
Tej vladi je vse dovoljeno.",-1,negative
Škoda za MB. Ostalo bo 0:0!,-1,negative
"Pa da v začetku kurilne sezone ne pozabim na cene kurilnega olja pri sosedih:
Avstrija: 0,647€ (verjetno se dobi tudi ceneje)
Hrvaška: 0,555€
Slovenija: 0,818€",0,neutral
"Se mi vse bolj jasni da so veliki v EU s svojo dvoličnostjo kar
precej prispevali k sedanji pizdariji ki jo imamo. Ko si je severni
del EU z močnimi Nemčija, Francija, Nizozenska,itd,zagotovil dotok
plina po severnem toku so že od samega začetka metali polena pod
noge južnemu, ki bi tudi obšel Ukrajino (se točno ve kdo je takrat
kradel plin). Le komu se je prodal bivši minister Joško Fišer da
tako vneto agitira proti južnemu toku? Bo še zanimivo ne gleda na
našo pohlevno in ubogljivo držo.",-1,negative
"Bravo Goran,  Pat Riley že ve zakaj !!!",1,positive
Bravo fantje! Super ste igrali. Zmanjkal je kanček sreče.. pa drugo leto ;),1,positive
"Tina bo pokazala zobe zelo hitro. Sezono je tempirala na ZOI. Ko pride na cilj ni prav nič utrujena. Čakajte, da pridejo težje preizkušnje. Te do zdaj so bile bolj podobne FIS tekmam.",1,positive
"In ko bo ga. Petra Sovdat končno objavila še končno poročilo
revizije, ki naj bi bilo obravnavano na zadnji seji NS Mercatorja,
bo prišlo malce več informacij, s katerimi se bo lahko zapolnilo
njegov življenjepis...

Ga. Petra je namreč dne 06.02.2013 že objavila prve izsledke
revizije za posle, pri katerih so sodelovale zelo zanimive osebe...
Uganete, kdo je bil tudi med njimi?",-1,negative
".....kako zanimivo kako se nekateri pritozujejo in se ne strinjajo z odlocitvijo, dejstvo pa je da imamo te ljudi na mejah in je potrebno ukrepati in glede na to so sportniki zdravi in mocni in tudi sposobni jim predlagam da se pridruzijo humanitarcem in ostalim da se s skupnimi mocmi resimo iz te tezave v kateri smo.....to isto bi predlagal tudi nekaterim politikom, ki komaj cakajo, da se zgodi nekaj takega da lahko ""pluvajo"" po delu vlade"".....lepo da ste opazili nekatere pomanjkljivosti pri delu pojdite in zapolnite te vrzeli z pravilnimi dejanji......",-1,negative
"Borut je kreten za lepo obleko in govoricenje tja v en dan...lahko ga uporabis za zidarska,pleskarska, cistilna itd dela vendar nikoli brez nadzora, ker ga bo drugace zasrallllll....in tako predstavlja mene v tujini in priznati moram, da mi je hudo kaksen bebec se sirokousti  tam v mojem imenu..,,,,,there is something wrong in this world..is it not?",-1,negative
"@freelander

Pri sedanjem razmerju cen 95% ljudi tanka v Sloveniji, ker se jim vožnja čez mejo ne splača, če niso tja namenjeni že iz drugih razlogov. In da bi 95% spravil na 100%, boš več izgubil, kot pa pridobil.",-1,negative
Sta še slalom in veleslalom!,1,positive
"Seveda ni jasno, 13 bodo volili komunistične naslednike, propagirane in financirane od foruma 21, mafijskega- udbovskega denarja pod okriljem partijskega udbo šefa.",-1,negative
"za manj naivne: poročilo umar za preteklo leto, stran 105.",0,neutral
Off: vsa čast komentatorjem dirke Tour de France na RTV2 !,1,positive
"Poulicno suntanje slovenskega """"filozofa"""" je trescilo na realna
tla.",-1,negative
spet bomo navijali!!!!!!!! Tinca dejmo!!!!!!!!!! gassssssss!,1,positive
"Banda je uvedla energetske izkaznice, spet prevara državljanov da se prigrabi denar ...kot dimnikarstvo...kot nalepke za avta....zamenjava tablic, osebnih dokumentov in podobno..živimo v sistemu ki nas izsiljuje za denar. In  zdaj jaz ne morem upravljati svojim imetjem za katero sem vložil 70 procentov svojega življenja in dela.",-1,negative
"@AntiFA: ja, se strinjam načelno...v takšni ureditvi, kot jo živimo sedaj pa se nam bo zgodila Kuba (razsute nepremičnine, od prve do zadnje), če bomo to naredil...folk enostavno ni pripravljen na kaj takšnega (ker imajo nekateri težave z dojemanjem javnega šolstva/zdravstva/itd)...

@Wasabi: podpis :)

@stilist: vse prav, sam 1000€/m2 je pa kar težko dosegljiva...sploh ker so komunalni prispevki kar visoki, poleg tega je potrebno poleg komunalca marsikdaj naredit še zastonj stvari za občine, itd...se strinjam, zadeva je v razsulu, totalno...

@huplunga: 800 €/m2 bo kar prava ocena (to je na ključ)...brez vštetega zemljišča in komunalnega prispevka...žal...",-1,negative
Srečno Lara in po zlato medaljo <3 !!!,1,positive
"Spet bo potrebno iti od začetka in uvajati sistem boljših svetovnih reprezentanc. Mogoče zaradi finančnih omejitev ne bomo imeli veliko kvalitetnih smučarjev, a dvignili bi lahko kvaliteto nadarjenih posameznikov.. Če sodobnim trendom ne moremo slediti, je vztrajanje v tem športu nesmisel, saj za gledalce postaja posledično vse bolj obroben in nezanimiv. 
Prenosi tekmovanj so se spremljali izključno zaradi naših tekmovalcev in če teh ni, potem prenose smučanja gleda znemarljivo število ljudi. 
Tudi funkcionarjev imamo preveč, ki so namen samim sebi in prejemajo plače za nedelo. Te statuse je potrebno pod nujno ukiniti in trenerjem na terenu dati večja pooblastila in plače.",1,positive
"edina nevarnost za nas, da Italjani in Avstrijci zaprejo svojo mejo.

Sem že napisal, da je najboljša rešitev, koridor preko Makedonije, Srbije...vse do nemške meje, pa naj se švabi ukvarjajo z njimi. (Transport in tranzit jim zaračunamo) pa še Fraportovo letališče imamo, da si jih vozijo v Nemčijo na lastne stroške če dobimo naval. 

za nas rešena stvar.",-1,negative
"Mladi talenti se vedno rojevajo. Jih pa veliko krat zamorijo in uničijo narcisoidni primerki ki so trenutno na tronu. Zato bi morali krotiti narcisoidne povzpetnike in dati dihat njihovim naslednikom, to pa razne "" zvezde "" pač ne bodo pustile.",-1,negative
"To je pač rezultat vodenja katastrofalne gospodarske in davčne politike. Pod vsemi ""levimi"" vladami se dogaja enako. Selektivno se krepi se javni sektor ( tisoče nepotrebnih agencij),
gospodarstvo se pa z visokimi in zmeraj višjimi dajatvami uničuje. Cerar dela enako usodno napako kot jo je delal Pahor, ki je mislil, da se bodo zadeve same po sebi uredila.",-1,negative
