text,true_label,predicted_label,model_response
Zdaj smo vsi bogati?,negative,neutral,neutral
"@Pohojen

[i]Kje ima država denar za vlaganje? Tuje investicije se
kažejo že pri Telekomu, NKBM-u ipd. Če lahko poceni
kupijo firmo, se jim to izplača, sicer pa ne. Ne bodo pa
investirali v države z višjimi plačami kot so kitajske.",neutral,negative,negative
"Zakaj raje ne pridobijo kapitala z emisijo delnic na kakšni od tujih borz kot npr. Krka na varšavski borzi, s tem država zniža svoje lastništvo in hkrati firma pridobi svež kapital?!",neutral,negative,negative
"Tale turizem v Ukrajini se je končal slabo,tako da Srečko po zmago v Maribor..,sicer pa hvala lepa če ne bo eura,in hvala lepa za vedno gospod bivši selektor",positive,negative,negative
"So pa fotru bajto popravli za 15% navzdol, kar je bolj realno.",neutral,negative,negative
še jodl ga je preskočil,negative,neutral,neutral
Odločila je sodniška kraja v Oslu. Švicar Ernst Egloff.,neutral,negative,negative
"""Avstrija – iščejo „nekomplicirane, pridne delavce“ + ""Nizozemska – naj vas ne motijo tatovi koles in direkten pristop"" --> Tule bi se jaz prijavil. Sem priden in nekompliciran in me ne moti direkten pristop. Prav tako me ne motijo tatovi koles. Še sam kakšnega sunem magari, če bo treba. ---> Kar se tiče strokovnosti in znanj pa kot komunist že po definiciji vse super obvladam, tako da lahko že jutri začnem, če se kdo zanima.",negative,positive,positive
Eh. Nič posebnega.,negative,neutral,neutral
"Gospodarska rast je ekonomski parameter, ki je pomemben izključno za za lastnike kapitala v ekonomskem prostoru za katerega se objavi podatek. Odvisno od strukture, ki generira to rast ima le-ta posreden vpliv na davčne prilive. Vendar v strukturi rasti, ki je značilna za Slovenijo ima ta rast skoraj ničelen vpliv na povečanje davčnih prilivov, ker se generira skoraj izključno iz naslova povečanega izvoza. Daje pa ta rast slutiti, da zaenkrat večjih sprememb navzdol na trgu dela ne bo. V nekem delu pa morda lahko to pomeni delno povečanje investicij v sektorju industrije in storitev bolj pa verjetno samo investicijsko vzdrževanje. Sama gospodarska rast pa nima nobene direktne povezave z življenskim standardom prebivalstva. Glede na trende zadnjih let pa je jasno razvidna povezava med rastjo BDP in vztrajnim nižanjem povprečnih plač. Zatorej se lahko potegne iz vsega tega miren zaključek, rast BDP gor ali dol, vpliv na blaginjo prebivalstva je enak. Živijo vedno slabše. Zatorej govoriti o krizi je norost. To je normalno ekonomsko stanje, ki deluje v okviru spremenjenih prioritet. Prioriteta ni več družbena uravnoteženost temveč je izključno interes lastnika kapitala.",neutral,negative,negative
"""dobili so ime, izgubili iluzijo - zdaj delajo za denar"" - dobra :)",negative,positive,positive
"Kakšni naslovi? Kaj je kdo prevzel ali bil in bo prevzet od ali po
""xyz"" se bo slej ko prej videlo. Lep dan.",negative,neutral,neutral
"Jaz tankam v AVT, diesel za 1euro",neutral,positive,positive
"skoda za drugi niz, 2-0 je tezko spremenit",negative,positive,positive
"V avtu mi pa že gori lučka... nič, bom pa do polnoči v službi pa se potem domov peljal =)",negative,positive,positive
"Bratranec je luštn, ko gre žoga mimo gola samo pokaže, da je vredu.",negative,positive,positive
Bodo morali zaceti prodajati. In kdo bo kupil?,neutral,negative,negative
"@ k_ris

če plačujem 15 let 500 ojrof najemnine, potem se mi bolj splača vzeti kredit, pa si zadevo kupit. 
in tu je po moje razlog tega, da je pri nas toliko lastnikov stanovanj in kiš, v primerjavi z razvito evropo.
Ko sem živel na Dunaju (do leta 2003) , sem za 75 kvadratno občinsko (gemeindewohnung) stanovanje plačeval 230 ojrof na mesec. 
V Sloveniji bi za tako stanovanje na Ptuju plačeval 500 ali  več. 
In iz tega sledi, da sem  na Dunaju na leto plačal za stanovanje 2750 na leto, 55200 v 20 letih. Pri nas pa 6000 na leto, 120000 v 20 letih. Torej se mi pri nas splača kupiti stanovanje, v razviti evropi se ne splača.",negative,neutral,neutral
Kaj Katancaso pustili v Ukrajini ali je že v Sloveniji (kar pomeniše vedno selektor)?,neutral,negative,negative
"K-ris
ja 50 EUR boš lahko dal počakaj še malo. Danes boš lahko dal že 80 EUR. Kupi če je to tako dobro  podjetje.",neutral,negative,negative
"Bi rada šla, pobožne želje .",positive,neutral,neutral
"Fantje, se zavedate, da Grčija v primeru poraza proti Finski ne nese nobene točke naprej? Neverjetno...",neutral,negative,negative
"Saj sem ti povedal, da uradno tudi jaz še vedno živim doma.... realno stanje pa je...",neutral,negative,negative
"@nikhrast se popolnoma strinjam s teboj. V Sloveniji se pojavlja specifika, da si vsak želi imeti dobro plačano službo, ki ima vse zgoraj našteto, ter po možnosti še kakšno ugodnost več. 

Žal pa živimo v času, ko je preveč brezposelnih, predvsem zaradi enega vidika. Vse več je namreč visoko izobraženih ljudi, po podatkih OECD-ja je stopnja visoko izobraženih ljudi v Sloveniji porasla iz 11,7% v letu 1991 na kar 22,6% v letu 2008. Sicer bi po nekaterih projekcijah v Sloveniji do leta 2020 potrebovali vsaj 31,3% visoko izobraženega kadra, a z ekonomsko krizo se je to verjetno, kar precej spremenilo. Problem kjer se odraža stopnja visoko izobraženega prebivalstva pa je v tem, da za njih ni pravih služb. Kar pomeni, da so za poklice, kjer njihova izobrazba ni zahtevana, prekvalificirani in zato po eni strani neuporabni, saj bi morali plačati več kot je potrebno za njih. Tako imamo velik del visoko izobraženega brezposelnega prebivalstva. Stvari pa bi se znale izboljšati v bodočem letu, saj je spremenjena oblika študentskega dela veliko manj ""prijazna"" do delodajalcev, že zaradi večje stopnje obdavčitve, zato lahko morda pričakujemo v prihodnje več zaposlitev za določen čas in posledično manj študentskega dela.",positive,neutral,neutral
A je to.,negative,neutral,neutral
"@a-rod; Če hočemo, da gre cena še bolj dol, bi moral sedaj tečaj €/$ narasti iz cca 1,10 kolikor je sedaj na nekje med 1,3 in 1,4....
Osebno močno dvomim, da se to lahko zgodi...bo prej na 1,00..",negative,neutral,neutral
"GoGi je predvsem bogat po srcu,je skromen,človeški in kot tak
simbol mlade generacije,ki ji je lahko vzor saj se je iz
nepoznanega fantiča zaljubljenega v košarko izboril in z delom ter
prizadevnostjo
ustvaril ime v širnem svetu!!!!!!!

Ne bi želel vleči vzporednice z našimi marsikaterimi
politiki,tajkuni in kvazi poslovneži,ki uspevajo na račun
ljudstva,ljudstvo pa v vse večji bedi!!!!",negative,positive,positive
