text,true_label,predicted_label,model_response
"Malo zavajate s temi pocenitvami na primer 0,6 centa je res da videti neka blazna pocenitev a praviloma bi morali pisati 0,06 centa.",negative,neutral,neutral
"diazepam
Ocitno da so upali da bodo z clankom doegli cilj a so kasneje videli da bo potreben se dodatek.",neutral,negative,negative
"Ponavlja se sistematična zgodba videna v zadnjih nekaj letih že
ničkolikokrat.
Ko se bliža konec leta začnejo svoje napovedi za tekoče leto
višati, kar več praktično ni napoved, saj smo v 11 mesecu od
dvanajstih in na voljo so že podatki o zaposlovnju do konca
oktobra, skratka 85% letošnjega BDP je že ustvarjenega.

Ker mora biti slika za Slovenijo vsaj malo pesimistična, potem
znižajo napoved za naslednje leto (kljub temu znižanju priznajo del
svoje napačne ocene, ker zaradi višje osnove ob vstopu v leto 2016
pomeni teh 1,9% rasti večji obseg BDP na koncu leta 2016, kot po
prvotni napovedi 1,023*1,021=1,0445 1,026*1,019=1,0455)",neutral,negative,negative
"Če boste Massija in Tino zaposlili po njeni aktivni karieri in imeli razčiščene vloge, smo lahko gotovi, da bo v 5-10 letih Slovenija imela po 3-4 M in Ž v prvi jakostni lestvici. Ali sanja svinja...",neutral,negative,negative
"@a-rod; Če hočemo, da gre cena še bolj dol, bi moral sedaj tečaj €/$ narasti iz cca 1,10 kolikor je sedaj na nekje med 1,3 in 1,4....
Osebno močno dvomim, da se to lahko zgodi...bo prej na 1,00..",negative,neutral,neutral
"Izvidnica, ki bo javila domov ali se socialni turizem pri nas
splača.",negative,neutral,neutral
"kralj 1. september 2015, ob 07:01 H A HA HA kaj pa če je to res? mislim čisto zares?",neutral,negative,negative
"@fady ... Izkazali so spoštovanje šampionu Prevcu. Brez veze se matrat, ne morš z glavo skozi zid. Je kot pri šahu, ko  veš da si slabši, stisneš roko in to je to.",positive,negative,negative
"Vsako leto se ob koncu leta zviša brezposelnost, običajno ker se prekinejo pogodbe za določen čas. To ni nobena novica, ampak samo 'vroča' novica in podpihovanje krize. 
http://www.tradingeconomics.com/charts/s
lovenia-unemployment-rate.png?s=svuer&d1=20100101&d2=
20151231",negative,neutral,neutral
"Vezjak je že pred leti skoraj do potankosti napovedal dogajanje okrog Patrie
http://zofijini.net/medi
ji_taktik/",negative,neutral,neutral
"Ni vazno,samo da uno doli redno maze.",negative,positive,positive
